Model,Key,Run,Zero Difference,Raw Optimized Difference,Scaled Optimized Difference,Optimized Better,Optimized Params
deffuant,imwbcnt,0,0.34837861524978087,0.348855761732197,-0.0013696204690234544,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,1,0.34837861524978087,0.348430221745885,-0.00014813336365993276,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,2,0.34837861524978087,0.34867249531580213,-0.0008435651706421811,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,3,0.34837861524978087,0.3484546319517395,-0.00021820140109378382,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,4,0.34837861524978087,0.3486122676329655,-0.0006706852055689453,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,5,0.34837861524978087,0.34819602162042396,0.000524124103386749,True,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,6,0.34837861524978087,0.34843425846811305,-0.00015972053362771607,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,7,0.34837861524978087,0.34876955828842515,-0.001122178634196557,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,8,0.34837861524978087,0.34851911633780885,-0.00040329997846524614,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,9,0.34837861524978087,0.3487369797018715,-0.0010286637480136434,False,"{'mu': 0.06195361209626926, 'epsilon': 0.6283265855466483, 'interactions': 15}"
deffuant,imwbcnt,10,0.34837861524978087,0.3504529534502094,-0.005954263865884118,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,11,0.34837861524978087,0.3512263240192649,-0.00817417787668248,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,12,0.34837861524978087,0.3505224276195733,-0.006153685318070883,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,13,0.34837861524978087,0.34988049467436455,-0.004311055153333296,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,14,0.34837861524978087,0.3507601549675536,-0.006836067466613011,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,15,0.34837861524978087,0.34956717414276933,-0.0034116872877983425,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,16,0.34837861524978087,0.35020605304183433,-0.005245550995554728,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,17,0.34837861524978087,0.3505886764143919,-0.006343848525336322,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,18,0.34837861524978087,0.35104190085795023,-0.007644802211122626,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,19,0.34837861524978087,0.35104190085795023,-0.007644802211122626,False,"{'mu': 0.4824158192924077, 'epsilon': 0.2725701882922339, 'interactions': 37}"
deffuant,imwbcnt,20,0.34837861524978087,0.3497124655399113,-0.0038287375623618563,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,21,0.34837861524978087,0.3497463174632815,-0.003925907485796784,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,22,0.34837861524978087,0.3491053732761189,-0.0020861154919539627,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,23,0.34837861524978087,0.3503539928173806,-0.005670203282091345,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,24,0.34837861524978087,0.3502553431968988,-0.0053870354406581,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,25,0.34837861524978087,0.35079400704792923,-0.006933237840722742,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,26,0.34837861524978087,0.3487718267437987,-0.0011286900998096737,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,27,0.34837861524978087,0.3488148308451043,-0.0012521308031799281,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,28,0.34837861524978087,0.3490277662415614,-0.0018633491361549413,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,29,0.34837861524978087,0.34902299578915813,-0.0018496558375583885,False,"{'mu': 0.26826931753229755, 'epsilon': 0.5680063553422007, 'interactions': 17}"
deffuant,imwbcnt,30,0.34837861524978087,0.3489600930375072,-0.0016690972472848742,False,"{'mu': 0.4634661557957869, 'epsilon': 0.420826629556191, 'interactions': 5}"
deffuant,imwbcnt,31,0.34837861524978087,0.3488660467896187,-0.0013991431118363696,False,"{'mu': 0.4634661557957869, 'epsilon': 0.420826629556191, 'interactions': 5}"
deffuant,imwbcnt,32,0.34837861524978087,0.34921661646534174,-0.0024054324200124873,False,"{'mu': 0.4634661557957869, 'epsilon': 0.420826629556191, 'interactions': 5}"
deffuant,imwbcnt,33,0.34837861524978087,0.34914818553328436,-0.002209005518182361,False,"{'mu': 0.4634661557957869, 'epsilon': 0.420826629556191, 'interactions': 5}"
deffuant,imwbcnt,34,0.34837861524978087,0.34951595550940245,-0.0032646672609515292,False,"{'mu': 0.4634661557957869, 'epsilon': 0.420826629556191, 'interactions': 5}"
deffuant,imwbcnt,35,0.34837861524978087,0.3484726614976694,-0.0002699541354486639,False,"{'mu': 0.4634661557957869, 'epsilon': 0.420826629556191, 'interactions': 5}"
