Model,Key,Zero Difference,Optimized Difference,Optimized Better,Difference,Optimized Params
deffuant,lrscale,0.1496744186046512,0.14974280286220612,False,6.83842575549265e-05,"{'epsilon': np.float64(0.1922198508061275), 'interactions': np.float64(0.04494381453943491), 'mu': np.float64(0.0002064101122264228)}"
deffuant,imwbcnt,0.34837861524978087,0.34840809028583597,False,2.9475036055104376e-05,"{'epsilon': np.float64(0.4164655949010548), 'interactions': np.float64(0.17537829956759166), 'mu': np.float64(0.00012334603784223006)}"
deffuant,trstun,0.13321033210332103,0.13323903647370894,False,2.8704370387905298e-05,"{'epsilon': np.float64(0.08984635852061784), 'interactions': np.float64(0.7138141099971015), 'mu': np.float64(0.0001226024923207138)}"
deffuant,pplfair,0.1320836965998256,0.13208712991145227,False,3.433311626666047e-06,"{'epsilon': np.float64(0.9983889759462377), 'interactions': np.float64(0.14907530464935048), 'mu': np.float64(1.1908473220271273e-05)}"
deffuant,rlgdgr,0.16742358078602623,0.1674452112791982,False,2.163049317197019e-05,"{'epsilon': np.float64(0.9962419640200603), 'interactions': np.float64(0.3576588946939434), 'mu': np.float64(3.448150691794821e-05)}"
deffuant,happy,0.19910956252419668,0.19913556252159723,False,2.5999997400549812e-05,"{'epsilon': np.float64(0.11270609651511071), 'interactions': np.float64(0.038747598699147276), 'mu': np.float64(0.00023861944322776777)}"
deffuant,imprich,0.18839050131926124,0.18839050131926124,False,0.0,"{'epsilon': np.float64(0.06471426485332732), 'interactions': np.float64(0.9926855731582638), 'mu': np.float64(0.8683423466737711)}"
deffuant,impdiff,0.15675198587819947,0.15675198587819944,True,-2.7755575615628914e-17,"{'epsilon': np.float64(0.01222725648550338), 'interactions': np.float64(0.3758824706444498), 'mu': np.float64(0.3293648915884949)}"
deffuant,ipmodst,0.13145374449339203,0.13145374449339203,False,0.0,"{'epsilon': np.float64(0.004499310700175091), 'interactions': np.float64(0.5966295838788404), 'mu': np.float64(0.0006120070941921241)}"
hk_averaging,lrscale,0.1496744186046512,0.15142430748347407,False,0.0017498888788228806,"{'agents': np.float64(0.03581337932284533), 'epsilon': np.float64(0.005137733949658076)}"
hk_averaging,imwbcnt,0.34837861524978087,0.3496246307978429,False,0.0012460155480620294,"{'agents': np.float64(0.020512221385437554), 'epsilon': np.float64(0.7782598441656576)}"
hk_averaging,trstun,0.13321033210332103,0.13438130578551466,False,0.0011709736821936267,"{'agents': np.float64(0.00870087177248463), 'epsilon': np.float64(0.3510962120655696)}"
hk_averaging,pplfair,0.1320836965998256,0.13231769237744342,False,0.0002339957776178181,"{'agents': np.float64(0.028964944442958357), 'epsilon': np.float64(0.18071459394289663)}"
hk_averaging,rlgdgr,0.16742358078602623,0.16813824274127814,False,0.0007146619552519107,"{'agents': np.float64(0.0023712285916313775), 'epsilon': np.float64(0.9275178737847846)}"
hk_averaging,happy,0.19910956252419668,0.20033910035986965,False,0.001229537835672978,"{'agents': np.float64(0.06050341971494116), 'epsilon': np.float64(0.08594400333790884)}"
