Model,Key,Zero Difference,Scaled Optimized Difference,Raw Optimized Difference,Optimized Better,Optimized Params
deffuant,lrscale,0.1496744186046512,0.0002114982222212953,0.14970607447809808,False,"{'mu': np.float64(6.415852304694585e-05), 'epsilon': np.float64(0.1374953366857614), 'interactions': 407}"
deffuant,imwbcnt,0.34837861524978087,8.07446135307602e-05,0.3484067449464316,False,"{'mu': np.float64(4.41235903498685e-05), 'epsilon': np.float64(0.8304930627666838), 'interactions': 466}"
deffuant,trstun,0.13321033210332103,0.00016836025234404813,0.13323275942844878,False,"{'mu': np.float64(2.115140282173936e-05), 'epsilon': np.float64(0.4152528729546291), 'interactions': 363}"
deffuant,pplfair,0.1320836965998256,9.45418880315325e-05,0.13209618404188034,False,"{'mu': np.float64(1.284313537751146e-05), 'epsilon': np.float64(0.3120683733320033), 'interactions': 347}"
deffuant,rlgdgr,0.16742358078602623,3.445517880893732e-05,0.16742934939543905,False,"{'mu': np.float64(1.144210404668761e-05), 'epsilon': np.float64(0.3167913260561397), 'interactions': 340}"
deffuant,happy,0.19910956252419668,9.648558354944285e-05,0.1991287737265271,False,"{'mu': np.float64(3.380130768592739e-05), 'epsilon': np.float64(0.6367522396660737), 'interactions': 393}"
deffuant,imprich,0.18839050131926124,0.0,0.18839050131926124,False,"{'mu': np.float64(0.28060738396982254), 'epsilon': np.float64(0.11247435401565574), 'interactions': 489}"
deffuant,impdiff,0.15675198587819947,-1.7706681966502004e-16,0.15675198587819944,True,"{'mu': np.float64(0.35347956694133575), 'epsilon': np.float64(0.16035259926663123), 'interactions': 307}"
deffuant,ipmodst,0.13145374449339203,0.0,0.13145374449339203,False,"{'mu': np.float64(0.34339128090823023), 'epsilon': np.float64(0.11609467367793186), 'interactions': 300}"
hk_averaging,lrscale,0.1496744186046512,0.0021249656734607116,0.14999247160638127,False,"{'epsilon': np.float64(0.610502944773043), 'agents': np.float64(0.0022007172852580026)}"
hk_averaging,imwbcnt,0.34837861524978087,0.019528325613859882,0.3551818662852842,False,"{'epsilon': np.float64(0.2572628168669404), 'agents': np.float64(0.07591890660340989)}"
hk_averaging,trstun,0.13321033210332103,0.007264135898077456,0.1341779900587476,False,"{'epsilon': np.float64(0.22808053509585546), 'agents': np.float64(0.01063701849291985)}"
hk_averaging,pplfair,0.1320836965998256,1.427377774000507e-06,0.13208388513315844,False,"{'epsilon': np.float64(0.22155083758046878), 'agents': np.float64(0.031386299430764035)}"
hk_averaging,rlgdgr,0.16742358078602623,0.011540886366848179,0.1693557973070086,False,"{'epsilon': np.float64(0.7143076869742468), 'agents': np.float64(0.004033513331117912)}"
hk_averaging,happy,0.19910956252419668,0.03262599204594674,0.20560570952738305,False,"{'epsilon': np.float64(0.10271943880801158), 'agents': np.float64(0.0849217788687414)}"
hk_averaging,imprich,0.18839050131926124,0.005888981111556559,0.18949992942312704,False,"{'epsilon': np.float64(0.35537108176824483), 'agents': np.float64(0.043821958314029685)}"
hk_averaging,impdiff,0.15675198587819947,-0.00031582217233537514,0.15670248012550153,True,"{'epsilon': np.float64(0.39284945741393873), 'agents': np.float64(0.0010753951536902479)}"
